22:28:05:406 [ALWAYS]	GUDE Logging Started
22:28:05:406 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:28:05:406 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:28:05:406 [ERROR]	Initialize resume cache pointer failure
22:28:05:406 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:28:05:406 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:28:12:157 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:28:12:157 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:28:12:158 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:28:12:158 [ERROR]	Initialize resume cache pointer failure
22:28:12:158 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:28:12:158 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
